restaurant_name,area,cuisine_type,budget_tier,avg_cost_per_person_aed,meal_type,vibe,reservation_required,halal,outdoor_seating,view,best_dish,opening_hours,insider_tip
Ravi Restaurant,Al Satwa,Pakistani,Budget,20-35,Lunch/Dinner,Legendary local institution - plastic chairs cash only,No,Yes,Yes,Street view,Chicken Karahi or Mutton Biryani,7am-3am daily,Dubai institution since 1978 - the queue outside at midnight is a Dubai rite of passage. Politicians and labourers eat side by side here
Al Ustad Special Kabab,Deira,Iranian/Persian,Budget,30-50,Lunch/Dinner,Old-school authentic no-frills,No,Yes,No,Street,Lamb Kebab with saffron rice,12pm-12am daily,One of the oldest restaurants in Dubai - the whole lamb on a skewer served tableside is extraordinary value at under 200 AED for 4 people
Bu Qtair,Jumeirah,Seafood,Budget,40-60,Lunch/Dinner,Legendary no-frills fish shack,No,Yes,Yes,Sea view,Fried hammour fish with biryani rice,12pm-4pm / 6pm-11pm daily,No menu - the waiter tells you what fish is fresh today. Loved by every Dubai resident and almost unknown to tourists. Cash only
Arabian Tea House,Al Fahidi,Emirati/Arabic,Budget-Mid,60-100,Breakfast/Lunch/Dinner,Charming heritage courtyard,No,Yes,Yes,Courtyard,Balaleet sweet vermicelli breakfast or Chicken Machboos,8am-11pm daily,The best place in Dubai for a traditional Emirati breakfast - try balaleet which is sweet saffron vermicelli with egg. Hidden in the Al Fahidi heritage district
Operation Falafel,Various locations,Lebanese,Budget,30-50,Lunch/Dinner,Casual modern Lebanese street food,No,Yes,Yes varies,Street/Mall,Crispy falafel wrap with garlic sauce,10am-12am daily,Best falafel in Dubai at the most reasonable price - the garlic sauce is legendary among Dubai residents. Multiple locations across the city
Logma,Box Park/Various,Emirati,Budget-Mid,60-90,Breakfast/Lunch,Modern Emirati casual,No,Yes,Yes varies,Street,Khameer bread with date jam and cream,8am-10pm daily,The only modern Emirati casual restaurant in Dubai - try khameer the traditional Emirati bread. Perfect introduction to local food without formal dining prices
Tom and Serg,Al Quoz,Australian Brunch,Mid,80-130,Breakfast/Lunch,Hipster warehouse brunch spot,No,Yes,Yes,Industrial courtyard,Fried chicken biscuit sandwich,8am-5pm daily,The best brunch spot in Dubai that locals actually use - in the industrial Al Quoz area far from tourist zones. Friday mornings are electric
Social House,Dubai Mall,International,Mid,100-160,Lunch/Dinner,Buzzy open-kitchen casual fine,No,Yes,Yes,Dubai Fountain view,Any pasta dish or the brunch,10am-12am daily,Directly overlooking the Dubai Fountain - book a window table and time arrival for the 6pm show. Same fountain view as much more expensive restaurants
Comptoir 102,Jumeirah,French Organic,Mid,90-150,Breakfast/Lunch,Chic Parisian organic cafe,No,Yes,Yes,Garden,Acai bowl or the eggs royale,9am-6pm daily,Best people-watching brunch in Jumeirah - the organic garden terrace feels like Paris in a villa. Very popular with Dubai's health-conscious crowd
Mythos Kouzina,JLT,Greek,Mid,100-160,Lunch/Dinner,Authentic Greek taverna,No,Yes,Yes,Lake view,Lamb kleftiko or mezze platter,12pm-11:30pm daily,Best Greek food in Dubai by far and completely unknown to tourists. Outdoor lakeside seating with the whole JLT lake as your view. Half the price of similar quality in Dubai Marina
Qbara,Bur Dubai,Modern Arabic,Mid-Upper,200-300,Dinner,Dramatic moody Arabic interior,Yes,Yes,No,Indoor theatrical,Wagyu with Arabic spices,7pm-2am daily,The most dramatic interior design of any mid-range restaurant in Dubai - the architectural Arabic lattice work and lighting is extraordinary. Good for impressing guests
Nobu,Atlantis Palm,Japanese-Peruvian,Luxury,400-600,Dinner,Legendary celebrity restaurant,Yes,Yes,No,Palm views,Black cod miso,7pm-12am daily,The lunch set menu at 195 AED is an extraordinary deal for Nobu quality - barely mentioned and dramatically cheaper than dinner with the same kitchen
Ossiano,Atlantis Palm,Fine Dining Seafood,Luxury,600-900,Dinner,Underwater aquarium restaurant,Yes,Yes,No,Underwater aquarium,Tasting menu only,7pm-11pm daily,Dining surrounded by 65000 sea creatures in a floor-to-ceiling aquarium - the most visually unique dining experience in the Middle East. Book 2 weeks ahead
Zuma,DIFC,Japanese Robata,Luxury,400-700,Lunch/Dinner,Buzzy Tokyo-inspired,Yes,Yes,No,DIFC views,Spicy beef tenderloin or rock shrimp,12pm-3pm / 7pm-1am daily,The bar area accepts walk-ins even when dining is fully booked - order the full menu at the bar and save 20% versus the formal dining room
Pierchic,Jumeirah,Seafood Fine Dining,Luxury,500-800,Lunch/Dinner,Overwater pier restaurant,Yes,Yes,Yes,Burj Al Arab direct view,Lobster thermidor or catch of day,12:30pm-3pm / 7pm-11pm daily,The only restaurant in Dubai where you can dine on the water with an unobstructed Burj Al Arab view from both sides of the table. Worth every dirham for a special occasion
Nusr-Et (Salt Bae),Jumeirah,Turkish Steakhouse,Luxury,600-1000,Lunch/Dinner,Celebrity chef theatrical experience,Yes,Yes,Yes,Sea views,Ottoman steak - the show is the point,1pm-12am daily,The food is secondary to the experience of watching the service ritual - go once for the story. The burger at 180 AED is the best value item on an otherwise extreme menu
Trattoria by Heinz Beck,Waldorf Astoria DIFC,Italian Fine Dining,Luxury,400-650,Dinner,Sophisticated elegant Italian,Yes,Yes,No,DIFC skyline,Hand-made pasta tasting menu,7pm-11:30pm daily,Michelin-starred chef in Dubai - the pasta tasting menu is world-class at a fraction of equivalent European prices. One of Dubai's best-kept fine dining secrets
Al Hadheerah,Bab Al Shams,Emirati/Arabic Traditional,Luxury,350-500,Dinner only,Desert fort open-air experience,Yes,Yes,Yes,Desert landscape,Ouzi slow-cooked whole lamb,7:30pm-11pm daily,The most authentic Emirati dining experience in Dubai - in a desert fort outside the city with camel rides falconry and traditional music. Requires driving outside Dubai but unforgettable
Urth By Nabz and G,Various,Healthy Gourmet,Mid,90-140,Breakfast/Lunch/Dinner,Premium health-conscious social,No,Yes,Yes varies,Varies,Acai bowls or truffle eggs,8am-11pm daily,The best healthy food brand in Dubai - quality of ingredients is exceptionally high and the outdoor seating areas are consistently beautiful. Very popular with Dubai's fitness community
Shakespeare and Co,Various,European Cafe,Budget-Mid,70-120,Breakfast/Lunch/Dinner,Victorian-inspired vintage cafe,No,Yes,Yes varies,Mall/Street,Full English or the signature cake platters,8am-12am daily,The most consistent all-day dining option across Dubai - quality and menu identical across 8 locations. The cake display is genuinely extraordinary
Folly by Nick and Scott,Souk Madinat,Modern European,Upper Mid,250-380,Dinner,Elegant casual waterfront,Yes,Yes,Yes,Burj Al Arab canal view,Tasting menu or lamb rack,6pm-12am daily,The best value fine dining with a Burj Al Arab view - substantially cheaper than neighboring Madinat restaurants with equivalent or better food quality
Fi'lia,SLS Dubai,Italian,Upper Mid,250-400,Lunch/Dinner,Beautiful modern Italian,Yes,Yes,Yes,Burj Khalifa views,Wood-fired pizza or fresh pasta,12pm-3pm / 6pm-11pm daily,The terrace has one of the best Burj Khalifa views of any restaurant in the city and the wood-fired pizzas are genuinely exceptional - hugely popular with Dubai residents
Lowe,Alserkal Avenue,Modern European,Mid,150-250,Lunch/Dinner,Industrial chic gallery district,No,Yes,Yes,Industrial courtyard,Weekend tasting menu,12pm-10pm Tuesday-Sunday,Hidden in the art district - the most surprising restaurant in Dubai. Seasonal menu changes weekly. The kind of restaurant that would have a Michelin star in London
Dinner in the Sky,Various pop-up locations,International,Luxury,700-1000,Dinner,Suspended 50m in the air,Yes,Yes,Open air elevated,Aerial city panorama,By event schedule,Literally dining suspended 50m above Dubai on a platform crane - check the schedule as it moves locations. The most dramatic dining concept in the city
Atmosphere,Burj Khalifa Level 122,International Fine Dining,Luxury,500-900,Lunch/Dinner,World's highest restaurant,Yes,Yes,No,Above the clouds view,Afternoon tea or the tasting menu,12pm-2pm / 7pm-11pm / Afternoon tea 2:30pm-6pm daily,At 442m this is the world's highest restaurant - the afternoon tea at 295 AED is the best value way to experience it versus dinner prices
